"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T8"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","29 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","30 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T14"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","45 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T16"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","histology","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T18"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","21 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T7"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","34 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","42 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T21"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","Compound treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","cell line","MT-4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","disease","adult T-cell leukemia"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","cell type","T-cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","Compound treatment","bortezomib 15 nanomolar"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","cell line","TaY"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","cell line","MT-2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","Compound treatment","bortezomib 5 nanomolar"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6034>","Transcription profiling of human Adult T-cell leukemia (ATL) treated with proteasome inhibitor, bortezomib","cell line","TaT"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","cell type","CD14 positive,monocyte"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","organism part","peripheral blood"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","genotype","wild type"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","genotype","heterozygous LDLR mutant"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","disease","familial hypercholesterolemia"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6054>","Transcription profiling of human circulating monocytes from patients with familial hypercholesterolemia","genotype","homozygous LDLR mutant"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","age","16 weeks"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","developmental stage","gestation"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","karyotype","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","cell type","amniocyte"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","cell type","chorion villus"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","age","14 weeks"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","karyotype","trisomy 21"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","karyotype","trisomy 18"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","age","13 weeks"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","age","12 weeks"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","age","15 weeks"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6283>","Transcription profiling of human fetus with autosomal trisomies","karyotype","trisomy 13"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","time","4 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","Compound treatment","serum amyloid A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","organism part","umbilical vein"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","cell type","endothelial cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","time","24 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","time","48 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","Compound treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6241>","Transcription profiling of human umbilical vein endothelial cells to investigate the effects of Serum Amyloid A, time series","time","0"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","organism part","mid secretory phase endometrium"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","time","mid secretory phase"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","time","proliferative phase"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","organism part","proliferative phase endometrium"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6364>","Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints reveals progesterone resistance and candidate susceptibility genes in women with endometriosis","disease","endometriosis"
